(val) step 1399: {'pi': 0.927734375, 'score': 0.927734375, 'examples_seen': 44800, 'step': 1399}
(val) step 1409: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 45120, 'step': 1409}
(val) step 1419: {'pi': 0.939453125, 'score': 0.939453125, 'examples_seen': 45440, 'step': 1419}
(val) step 1429: {'pi': 0.97265625, 'score': 0.97265625, 'examples_seen': 45760, 'step': 1429}
(val) step 1439: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 46080, 'step': 1439}
(val) step 1449: {'pi': 0.876953125, 'score': 0.876953125, 'examples_seen': 46400, 'step': 1449}
(val) step 1459: {'pi': 0.921875, 'score': 0.921875, 'examples_seen': 46720, 'step': 1459}
(val) step 1469: {'pi': 0.947265625, 'score': 0.947265625, 'examples_seen': 47040, 'step': 1469}
(val) step 1479: {'pi': 0.958984375, 'score': 0.958984375, 'examples_seen': 47360, 'step': 1479}
(val) step 1489: {'pi': 0.95703125, 'score': 0.95703125, 'examples_seen': 47680, 'step': 1489}
(val) step 1499: {'pi': 0.904296875, 'score': 0.904296875, 'examples_seen': 48000, 'step': 1499}
(val) step 1509: {'pi': 0.970703125, 'score': 0.970703125, 'examples_seen': 48320, 'step': 1509}
(val) step 1519: {'pi': 0.9296875, 'score': 0.9296875, 'examples_seen': 48640, 'step': 1519}
(val) step 1529: {'pi': 0.935546875, 'score': 0.935546875, 'examples_seen': 48960, 'step': 1529}
(val) step 1539: {'pi': 0.927734375, 'score': 0.927734375, 'examples_seen': 49280, 'step': 1539}
(val) step 1549: {'pi': 0.9609375, 'score': 0.9609375, 'examples_seen': 49600, 'step': 1549}
(val) step 1559: {'pi': 0.978515625, 'score': 0.978515625, 'examples_seen': 49920, 'step': 1559}
(val) step 1569: {'pi': 0.916015625, 'score': 0.916015625, 'examples_seen': 50240, 'step': 1569}
(val) step 1579: {'pi': 0.96875, 'score': 0.96875, 'examples_seen': 50560, 'step': 1579}
(val) step 1589: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 50880, 'step': 1589}
(val) step 1599: {'pi': 0.91015625, 'score': 0.91015625, 'examples_seen': 51200, 'step': 1599}
(val) step 1609: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 51520, 'step': 1609}
(val) step 1619: {'pi': 0.966796875, 'score': 0.966796875, 'examples_seen': 51840, 'step': 1619}
(val) step 1629: {'pi': 0.955078125, 'score': 0.955078125, 'examples_seen': 52160, 'step': 1629}
(val) step 1639: {'pi': 0.974609375, 'score': 0.974609375, 'examples_seen': 52480, 'step': 1639}
(val) step 1649: {'pi': 0.96484375, 'score': 0.96484375, 'examples_seen': 52800, 'step': 1649}
(val) step 1659: {'pi': 0.953125, 'score': 0.953125, 'examples_seen': 53120, 'step': 1659}
